university_id,major_id,combination,year,cutoff_score,method,source_url,verified_at
hust,cntt,A00,2023,28.29,thi_thpt,https://hust.edu.vn,2026-06-01
hust,cntt,A00,2024,28.53,thi_thpt,https://hust.edu.vn,2026-06-01
hust,cntt,A00,2025,28.85,thi_thpt,https://hust.edu.vn,2026-06-01
hust,cntt,A01,2023,28.10,thi_thpt,https://hust.edu.vn,2026-06-01
hust,cntt,A01,2024,28.35,thi_thpt,https://hust.edu.vn,2026-06-01
hust,cntt,A01,2025,28.60,thi_thpt,https://hust.edu.vn,2026-06-01
hust,kysu,A00,2023,25.40,thi_thpt,https://hust.edu.vn,2026-06-01
hust,kysu,A00,2024,25.80,thi_thpt,https://hust.edu.vn,2026-06-01
hust,kysu,A00,2025,26.20,thi_thpt,https://hust.edu.vn,2026-06-01
vnu,cntt,A00,2023,27.80,thi_thpt,https://vnu.edu.vn,2026-06-01
vnu,cntt,A00,2024,28.00,thi_thpt,https://vnu.edu.vn,2026-06-01
vnu,cntt,A00,2025,28.20,thi_thpt,https://vnu.edu.vn,2026-06-01
vnu,kinhte,D01,2023,26.50,thi_thpt,https://vnu.edu.vn,2026-06-01
vnu,kinhte,D01,2024,26.80,thi_thpt,https://vnu.edu.vn,2026-06-01
vnu,kinhte,D01,2025,27.10,thi_thpt,https://vnu.edu.vn,2026-06-01
vnu,luat,C00,2023,25.50,thi_thpt,https://vnu.edu.vn,2026-06-01
vnu,luat,C00,2024,25.80,thi_thpt,https://vnu.edu.vn,2026-06-01
vnu,luat,C00,2025,26.00,thi_thpt,https://vnu.edu.vn,2026-06-01
neu,kinhte,A00,2023,26.80,thi_thpt,https://neu.edu.vn,2026-06-01
neu,kinhte,A00,2024,27.10,thi_thpt,https://neu.edu.vn,2026-06-01
neu,kinhte,A00,2025,27.50,thi_thpt,https://neu.edu.vn,2026-06-01
neu,marketing,A00,2023,27.20,thi_thpt,https://neu.edu.vn,2026-06-01
neu,marketing,A00,2024,27.40,thi_thpt,https://neu.edu.vn,2026-06-01
neu,marketing,A00,2025,27.70,thi_thpt,https://neu.edu.vn,2026-06-01
ftu,kinhte,A00,2023,27.60,thi_thpt,https://ftu.edu.vn,2026-06-01
ftu,kinhte,A00,2024,27.80,thi_thpt,https://ftu.edu.vn,2026-06-01
ftu,kinhte,A00,2025,28.10,thi_thpt,https://ftu.edu.vn,2026-06-01
ftu,marketing,A01,2023,27.50,thi_thpt,https://ftu.edu.vn,2026-06-01
ftu,marketing,A01,2024,27.70,thi_thpt,https://ftu.edu.vn,2026-06-01
ftu,marketing,A01,2025,27.90,thi_thpt,https://ftu.edu.vn,2026-06-01
ueh,kinhte,A00,2023,26.30,thi_thpt,https://ueh.edu.vn,2026-06-01
ueh,kinhte,A00,2024,26.60,thi_thpt,https://ueh.edu.vn,2026-06-01
ueh,kinhte,A00,2025,27.00,thi_thpt,https://ueh.edu.vn,2026-06-01
ueh,marketing,A01,2023,26.70,thi_thpt,https://ueh.edu.vn,2026-06-01
ueh,marketing,A01,2024,27.00,thi_thpt,https://ueh.edu.vn,2026-06-01
ueh,marketing,A01,2025,27.30,thi_thpt,https://ueh.edu.vn,2026-06-01
hcmut,cntt,A00,2023,27.50,thi_thpt,https://hcmut.edu.vn,2026-06-01
hcmut,cntt,A00,2024,27.80,thi_thpt,https://hcmut.edu.vn,2026-06-01
hcmut,cntt,A00,2025,28.10,thi_thpt,https://hcmut.edu.vn,2026-06-01
hcmut,cntt,A01,2023,27.30,thi_thpt,https://hcmut.edu.vn,2026-06-01
hcmut,cntt,A01,2024,27.60,thi_thpt,https://hcmut.edu.vn,2026-06-01
hcmut,cntt,A01,2025,27.90,thi_thpt,https://hcmut.edu.vn,2026-06-01
ump,yte,B00,2023,27.30,thi_thpt,https://ump.edu.vn,2026-06-01
ump,yte,B00,2024,27.50,thi_thpt,https://ump.edu.vn,2026-06-01
ump,yte,B00,2025,27.80,thi_thpt,https://ump.edu.vn,2026-06-01
ump,duoc,B00,2023,25.80,thi_thpt,https://ump.edu.vn,2026-06-01
ump,duoc,B00,2024,26.00,thi_thpt,https://ump.edu.vn,2026-06-01
ump,duoc,B00,2025,26.30,thi_thpt,https://ump.edu.vn,2026-06-01
vku,cntt,A01,2023,22.50,thi_thpt,https://vku.udn.vn,2026-06-01
vku,cntt,A01,2024,23.00,thi_thpt,https://vku.udn.vn,2026-06-01
vku,cntt,A01,2025,23.50,thi_thpt,https://vku.udn.vn,2026-06-01
vku,cntt,D01,2023,22.00,thi_thpt,https://vku.udn.vn,2026-06-01
vku,cntt,D01,2024,22.50,thi_thpt,https://vku.udn.vn,2026-06-01
vku,cntt,D01,2025,23.00,thi_thpt,https://vku.udn.vn,2026-06-01
